Image,Name,Personality Traits
"<img src=""<img src=""https://m.media-amazon.com/images/M/MV5BMjAwMjk3NDUzN15BMl5BanBnXkFtZTcwNjI4MTY0NA@@._V1_UX140_CR0,0,140,209_AL_.jpg"" width=""60"" >"" width=""60"" >",Aamir Khan,"Mohammed Aamir Hussain Khan (pronounced [ˈaːmɪr ˈxaːn]; born 14 March 1965) is an Indian actor, director, filmmaker and television talk-show host. Through his career spanning over thirty years in Hindi films, Khan has established himself as one of the most popular and influential actors of Indian cinema.[2][3] He has a large global following, especially in India and China, and has been described by Newsweek as ""the biggest movie star""[4][5] in the world.[6][7][8] Khan is the recipient of numerous awards, including nine Filmfare Awards, four National Film Awards, and an AACTA Award, as well as an Academy Award nomination. He was honoured by the Government of India with the Padma Shri in 2003 and the Padma Bhushan in 2010,[9] and received an honorary title from the Government of China in 2017.[10] For years, he has been regularly listed one amongthe 500 Most Influential Muslims of the world.[11][12]Khan first appeared on screen as a child actor in his uncle Nasir Hussain's film Yaadon Ki Baaraat (1973). As an adult, his first feature film role was in the experimental film Holi (1984), and he began a full-time acting career with a leading role in the tragic romance Qayamat Se Qayamat Tak (1988). His performance in the film and in the thriller Raakh (1989) earned him a National Film Award in the Special Mention category. He established himself as a leading actor of Hindi cinema in the 1990s by appearing in a number of commercially successful films, including the romantic dramas Dil (1990) and Raja Hindustani (1996), for which he won his first Filmfare Award for Best Actor, and the thriller Sarfarosh (1999).[13][14] He also played against type in the acclaimed Canadian-Indian co-production 1947: Earth (1998).[15]"
"<img src=""<img src=""https://m.media-amazon.com/images/M/MV5BODI4NDY1NzkyM15BMl5BanBnXkFtZTgwNzM3MDM0OTE@._V1_UY209_CR13,0,140,209_AL_.jpg"" width=""60"" >"" width=""60"" >",Akshay Kumar,"Rajiv Hari Om Bhatia (born 9 September 1967),[3] known professionally as Akshay Kumar, is a Canadian actor, producer, martial artist and television personality who works in Bollywood films. In a career spanning over 29 years, Kumar has appeared in over 100 films and has won several awards, including the National Film Award for Best Actor for his performance in Rustom (2016), and two Filmfare Awards for Ajnabee (2001) and Garam Masala (2005).Kumar is one of the most successful Bollywood actors of all time, having starred in 113 films, 52 of which were commercially successful.[4][5][6][7][8].He was the first Bollywood actor whose films' domestic net lifetime collections crossed ₹20 billion (US$280 million) by 2013,[9] and ₹30 billion (US$420 million) by 2016.[10] Having done so, he has established himself as one of the prominent actors of Hindi cinema.[11][12] When he began his acting career in the 1990s, he primarily starred in action films. Later, Kumar also gained fame for his drama, romantic and comic roles."
"<img src=""<img src=""https://m.media-amazon.com/images/M/MV5BMTY0MDY2MDMwOV5BMl5BanBnXkFtZTgwNDE4MDM0OTE@._V1_UY209_CR6,0,140,209_AL_.jpg"" width=""60"" >"" width=""60"" >",Ajay Devgn,"Vishal Devgan (born 2 April 1969), known professionally as Ajay Devgn, is an Indian film actor, director and producer. He is widely considered as one of the most intense and influential actors of Hindi cinema, who has appeared in over a hundred Hindi films. Devgn has won numerous accolades, including two National Film Awards and four Filmfare Awards. In 2016, he was honoured by the Government of India with the Padma Shri, the fourth-highest civilian honour of the country.[2][3][4][5][6][7][8][9]Devgn began his professional career with Phool Aur Kaante in 1991 and received a Filmfare Award for Best Male Debut for his performance.[10][11] He then starred in successful films such as Jigar (1992), Sangram (1993), Vijaypath (1994), Dilwale (1994), Suhaag (1994), Haqeeqat (1995), Naajayaz (1995), Diljale (1996) and Ishq (1997).  In 1998, he appeared in a critically acclaimed performance in Mahesh Bhatt's drama Zakhm and he received his first National Film Award for Best Actor for his role in the movie. In 1999, his most-talked-about film was Hum Dil De Chuke Sanam in which he played Vanraj, a man who tries to unite his wife with her lover."
"<img src=""<img src=""https://m.media-amazon.com/images/M/MV5BZDk1ZmU0NGYtMzQ2Yi00N2NjLTkyNWEtZWE2NTU4NTJiZGUzXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR3,0,140,209_AL_.jpg"" width=""60"" >"" width=""60"" >",Shah Rukh Khan,"Shah Rukh Khan (born 2 November 1965), also known by the initialism SRK, is an Indian actor, film producer, and television personality. Referred to in the media as the ""Badshah of Bollywood"", ""King of Bollywood"" and ""King Khan"", he has appeared in more than 80 Bollywood films, and earned numerous accolades, including 14 Filmfare Awards. The Government of India has awarded him the Padma Shri, and the Government of France has awarded him the Ordre des Arts et des Lettres and the Legion of Honour. Khan has a significant following in Asia and the Indian diaspora worldwide. In terms of audience size and income, he has been described as one of the most successful film stars in the world.[a]Khan began his career with appearances in several television series in the late 1980s. He made his Bollywood debut in 1992 with Deewana. Early in his career, Khan was recognised for portraying villainous roles in the films Baazigar (1993), Darr (1993), and Anjaam (1994). He then rose to prominence after starring in a series of romantic films, including Dilwale Dulhania Le Jayenge (1995), Dil To Pagal Hai (1997), Kuch Kuch Hota Hai (1998), Mohabbatein (2000) and Kabhi Khushi Kabhie Gham... (2001). Khan went on to earn critical acclaim for his portrayal of an alcoholic in Devdas (2002), a NASA scientist in Swades (2004), a hockey coach in Chak De! India (2007) and a man with Asperger syndrome in My Name Is Khan (2010). His highest-grossing films include the comedies Chennai Express (2013), Happy New Year (2014), Dilwale (2015), and the crime film Raees (2017). Many of his films display themes of Indian national identity and connections with diaspora communities, or gender, racial, social and religious differences and grievances."
"<img src=""<img src=""https://m.media-amazon.com/images/M/MV5BNTk1OTUxMzIzMV5BMl5BanBnXkFtZTcwMzMxMjI0Nw@@._V1_UY209_CR6,0,140,209_AL_.jpg"" width=""60"" >"" width=""60"" >",Amitabh Bachchan,"Amitabh Bachchan (pronounced [əmɪˈtaːbʱ ˈbətʃːən]; born Inquilaab Srivastava;[1] 11 October 1942[4]) is an Indian film actor, film producer, television host, occasional playback singer and former politician. He first gained popularity in the early 1970s for films such as Zanjeer, Deewaar and Sholay, and was dubbed India's ""angry young man"" for his on-screen roles in Bollywood. Referred to as the Shahenshah of Bollywood, Sadi ka Mahanayak (Hindi for, ""Greatest actor of the century""), Star of the Millennium, or Big B,[5][6][7] he has since appeared in over 200 Indian films in a career spanning more than five decades.[8] Bachchan is widely regarded as one of the greatest and most influential actors in the history of Indian cinema as well as world cinema.[9][10][11][12][13] So total was his dominance on the Indian movie scene in the 1970s and 1980s that the French director François Truffaut called him a ""one-man industry"".[14] Beyond the Indian subcontinent, he also has a large overseas following in markets including Africa (especially South Africa and Mauritius), the Middle East (especially Egypt), the United Kingdom, Russia, the Caribbean (especially Guyana, Suriname, and Trinidad and Tobago), Oceania (especially Fiji, Australia, and New Zealand) and parts of the United States.[15][11][16][17][18]"
"<img src=""<img src=""https://m.media-amazon.com/images/M/MV5BNDg3NDgxNzY4NF5BMl5BanBnXkFtZTcwODMxODQzMg@@._V1_UY209_CR8,0,140,209_AL_.jpg"" width=""60"" >"" width=""60"" >",Irrfan Khan,"Irrfan Khan, also credited as simply Irrfan, is an Indian film actor, known for his work predominantly in Hindi cinema, as well as his works in British films and Hollywood.[2][3] In a film career spanning almost thirty years and featuring in more than fifty domestic films, Khan has received numerous awards, including a National Film Award and Filmfare Awards in four categories. Film critics, contemporaries and other experts consider him to be one of the finest actors in Indian cinema for his versatile and natural acting.[4][5] In 2011, he was awarded the Padma Shri, India's fourth highest civilian honour for his contribution to the field of arts.[6]Domestically, he made his screen debut with the Academy Award-nominated film Salaam Bombay! (1988). Followed by a series of roles in films that failed to propel his career forward, he received critical acclaim for playing negative roles in the drama films Haasil (2003) and Maqbool (2004), for the former he won the Filmfare Award for Best Villain. The successful drama Life in a... Metro (2007) marked a turning point in Khan's career, earning him praise and several awards including the Filmfare Award for Best Supporting Actor. He rose to prominence with his portrayal of Paan Singh Tomar in the acclaimed biographical sports drama Paan Singh Tomar (2011), which garnered him the National Film Award for Best Actor and a Filmfare Critics Award for Best Actor.[7] His performance in the BAFTA Award-nominated romance The Lunchbox (2013) earned him universal acclaim by the critics and audiences. Khan went on to feature in the commercially and critically successful films Haider (2014), Gunday (2014), Piku (2015) and Talvar (2015). His highest-grossing Hindi release came with the critically acclaimed comedy-drama Hindi Medium (2017), which became a sleeper hit in India and China, which ranks among highest-grossing Indian films of all time and earned him praise for his performance, winning several awards including the Filmfare Award for Best Actor."
"<img src=""<img src=""https://m.media-amazon.com/images/M/MV5BMzUxODk5MmEtZGQxOC00NzUxLWI5YTEtYWFjMjZmZTIwNTA5XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR8,0,140,209_AL_.jpg"" width=""60"" >"" width=""60"" >",Manoj Bajpayee,"Manoj Bajpayee (born 23 April 1969), also credited as Manoj Bajpai, is an Indian film actor who predominantly works in Hindi cinema and has also done Telugu and Tamil language films. He is the recipient of two National Film Awards and four Filmfare Awards. In 2019, he was given India's fourth-highest civilian honor Padma Shri for his contributions to art.Born in Belwa, a small village in Narkatiaganj, Bihar, Bajpayee aspired to become an actor since childhood. He relocated to Delhi at the age of seventeen, and applied for the National School of Drama, only to be rejected four times. He continued to do theatre while studying in college. Bajpayee made his feature film debut with a one-minute role in Drohkaal (1994), and a minor role of a dacoit in Shekhar Kapur's Bandit Queen (1994). After a few unnoticed roles, he played the gangster Bhiku Mhatre in Ram Gopal Varma's 1998 crime drama Satya, which proved to be a breakthrough. Bajpayee received the National Film Award for Best Supporting Actor and Filmfare Critics Award for Best Actor for the film. He then acted in films such as Kaun (1999) and Shool (1999). For the latter, he won his second Filmfare Critics Award for Best Actor. Bajpayee further played a prince with two wives in Zubeidaa (2001), a serial killer in Aks (2001) and a hitchhiker-turned-psychopath killer in Road (2002)."
"<img src=""<img src=""https://m.media-amazon.com/images/M/MV5BMTU5NTQwMTI0NV5BMl5BanBnXkFtZTcwNzQyNTgxOA@@._V1_UX140_CR0,0,140,209_AL_.jpg"" width=""60"" >"" width=""60"" >",Nawazuddin Siddiqui,"Nawazuddin Siddiqui (born 19 May 1974) is an Indian actor, known for his works in Hindi cinema.[1][4] An alumnus of the National School of Drama. Nawazuddin Siddiqui started getting roles in independent films; these were the films which gave him and Indian Cinema recognition internationally. Most of his Independent films have received critical acclaim at International Films Festivals, such as the Academy Awards, Cannes Film Festival, Berlin Film Festival, Busan Film Festival, Tribeca Film Festival, and the Asia Pacific Screen Awards.Nawazuddin Siddiqui has appeared in four major cinemas, earning the title of Breakthrough Talent at the 2012 GQ Men of the Year Awards.[5] Siddiqui’s feature film debut was alongside director Prashant Bhargava in Patang (2012),[6] which premiered at the 2012 Berlin Film Festival, for which Nawazuddin Siddiqui was presented with the Thumbsup Trophy by the cinema critic Roger Ebert. He also gained international recognitions for his work alongside director Anurag Kashyap in Black Friday (2007), the Gangs of Wasseypur (2012) duology and Raman Raghav 2.0."
"<img src=""<img src=""https://m.media-amazon.com/images/M/MV5BMjIxMjMzNjQ0OF5BMl5BanBnXkFtZTgwODc4ODEzOTE@._V1_UY209_CR87,0,140,209_AL_.jpg"" width=""60"" >"" width=""60"" >",Vicky Kaushal,"Vicky Kaushal (pronounced [ʋɪkkiː kɔːʃəl]; born 16 May 1988) is an Indian actor who works in Hindi films. He is the recipient of a National Film Award and a Filmfare Award, and has appeared in Forbes India's Celebrity 100 list of 2019.Born to the action director Sham Kaushal, Kaushal pursued an engineering degree from the Rajiv Gandhi Institute of Technology. Aspiring to take up a career in film, he assisted Anurag Kashyap in the crime drama Gangs of Wasseypur (2012) and went on to play minor roles in two of Kashyap's productions. His first leading role was in the independent drama Masaan (2015), which earned him the IIFA and Screen Awards for Best Male Debut, following which he starred as an unhinged cop in Kashyap's psychological thriller Raman Raghav 2.0 (2016).Kaushal rose to prominence in 2018 with supporting roles in Raazi and Sanju, two of the highest-grossing Hindi films of the year. For the latter, he won the Filmfare Award for Best Supporting Actor. His 2018 projects also included starring roles in the Netflix films Love per Square Foot and Lust Stories. The following year, he played the lead role of a military officer in the commercially successful action film Uri: The Surgical Strike, winning the National Film Award for Best Actor."
"<img src=""<img src=""https://m.media-amazon.com/images/M/MV5BMzAxNWIzOWItMDM1NC00NGMyLWIwMDEtNWZjODEyOTFiZjQ4XkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_UX140_CR0,0,140,209_AL_.jpg"" width=""60"" >"" width=""60"" >",Rajkummar Rao,"Rajkummar Rao (born 31 August 1984[1]), also known as Rajkumar Yadav, is an Indian actor.[2][3] He has established a career in Hindi cinema and is the recipient of several awards, including a National Film Award, three Filmfare Awards, and an Asia Pacific Screen Award.Rao graduated from the University of Delhi and went on to study acting at the Film and Television Institute of India and graduated from there in 2008. He then moved to Mumbai and made his film debut with the experimental anthology film Love Sex Aur Dhokha (2010). After a few brief roles, he had his breakthrough with the drama film Kai Po Che! (2013). He rose to prominence with his portrayal of Shahid Azmi in the critically acclaimed biographical drama Shahid (2013), for which he was awarded the National Film Award for Best Actor and the Filmfare Critics Award for Best Actor.[4]Rao went on to feature in the successful romantic comedy Queen (2014) and starred in the acclaimed dramas CityLights (2014), Aligarh (2016), and Trapped (2016). The last of these earned him another Filmfare Critics Award for Best Actor. Among his 2017 releases, the romantic comedy Bareilly Ki Barfi and the black comedy Newton were both commercial successes and won him several accolades including the Filmfare Award for Best Supporting Actor for the former and the Asia Pacific Screen Award for Best Actor for the latter. His highest-grossing release came with the horror comedy Stree (2018)."
"<img src=""<img src=""https://m.media-amazon.com/images/M/MV5BOTk4MDY4ODAwNl5BMl5BanBnXkFtZTcwNzQ0MjY2Nw@@._V1_UY209_CR87,0,140,209_AL_.jpg"" width=""60"" >"" width=""60"" >",Ayushmann Khurrana,"Ayushmann Khurrana (born Nishant Khurrana on 14 September 1984) is an Indian actor, singer, and television host. Known for his portrayals of ordinary men,[2][3] he is the recipient of several awards, including a National Film Award and four Filmfare Awards, and has appeared in Forbes India's Celebrity 100 list of 2013 and 2019.Khurrana won the second season of  reality television show MTV Roadies in 2004 and ventured into an anchoring career. He made his film debut in 2012 with the romantic comedy Vicky Donor, in which his performance as a sperm donor earned him the Filmfare Award for Best Male Debut.[4][5] Following a brief setback, he starred in the commercially and critically successful romance Dum Laga Ke Haisha (2015). Khurrana went on to establish himself with the comedies Bareilly Ki Barfi (2017), Shubh Mangal Saavdhan (2017), Badhaai Ho (2018), Dream Girl (2019), and Bala (2019); the thriller Andhadhun (2018); and the crime drama Article 15 (2019).[6] Khurrana's performances as a blind pianist in Andhadhun and an honest cop in Article 15 won him two consecutive Filmfare Critics Award for Best Actor, and he also won the National Film Award for Best Actor for the former."
"<img src=""<img src=""https://m.media-amazon.com/images/M/MV5BMTQ4MDcyOTExOV5BMl5BanBnXkFtZTgwOTQyMDU0OTE@._V1_UY209_CR12,0,140,209_AL_.jpg"" width=""60"" >"" width=""60"" >",Naseeruddin Shah,"Naseeruddin Shah (born 20 July 1949) is an Indian film and stage actor and director in the Hindi language film industry. He is notable in Indian parallel cinema.[1] He has won numerous awards in his career, including three National Film Awards, three Filmfare Awards and an award at the Venice Film Festival. The Government of India has honoured him with the Padma Shri and the Padma Bhushan awards for his contributions to Indian cinema.[2]Naseeruddin Shah was born in Barabanki town of Uttar Pradesh, into a Muslim family that originally came from Meerut.[3] He is one of the three sons of Aley Mohammed Shah and his wife Farrukh Sultan.Shah did his schooling at St. Anselm's Ajmer and St Joseph's College, Nainital. He graduated in arts from Aligarh Muslim University in 1971 and attended National School of Drama in Delhi.His elder brother, Lt. General Zameerud-din Shah[4] (Retd.) PVSM, SM, VSM, was Vice-Chancellor of Aligarh Muslim University.[5][6]Shah has acted in movies such as Nishant, Aakrosh, Sparsh, Mirch Masala, Albert Pinto Ko Gussa Kyon Ata Hai, Trikal, Bhavni Bhavai, Junoon, Mandi, Mohan Joshi Hazir Ho!, Ardh Satya, Katha, and Jaane Bhi Do Yaaro.[7]He made his debut with a small role in film Aman (1967) starring Rajendra kumar and Saira Banu."
